# SPY=0.0
ticker,name,sector,return_pct,market_cap_b
NVDA,NVIDIA CORP,United States,2.57,4.7
AAPL,APPLE INC,United States,-0.0,4.02
MSFT,MICROSOFT CORP,United States,-0.59,2.77
AMZN,AMAZON COM INC,United States,2.02,2.36
GOOGL,ALPHABET INC CLASS A,United States,-0.39,1.95
AVGO,BROADCOM INC,United States,4.69,1.68
GOOG,ALPHABET INC CLASS C,United States,-0.21,1.62
2330.TW,TAIWAN SEMICONDUCTOR MANUFACTURING,Taiwan,2.3,1.59
META,META PLATFORMS INC CLASS A,United States,0.23,1.44
TSLA,TESLA INC,United States,0.96,1.03
JPM,JPMORGAN CHASE & CO,United States,-0.15,0.89
LLY,ELI LILLY,United States,-1.65,0.81
BRK-B,BERKSHIRE HATHAWAY INC CLASS B,United States,-1.09,0.7
XOM,EXXON MOBIL CORP,United States,-1.63,0.69
005930.KS,SAMSUNG ELECTRONICS LTD,Korea (South),0.98,0.69
JNJ,JOHNSON & JOHNSON,United States,-1.18,0.61
WMT,WALMART INC,United States,-1.83,0.59
ASML,ASML HOLDING NV,Netherlands,2.05,0.59
V,VISA INC CLASS A,United States,-1.27,0.55
MU,MICRON TECHNOLOGY INC,United States,-0.22,0.5
COST,COSTCO WHOLESALE CORP,United States,-3.25,0.48
NFLX,NETFLIX INC,United States,0.94,0.46
MA,MASTERCARD INC CLASS A,United States,-0.98,0.45
0700.HK,TENCENT HOLDINGS LTD,China,-0.79,0.44
AMD,ADVANCED MICRO DEVICES INC,United States,3.55,0.4
ABBV,ABBVIE INC,United States,-2.1,0.4
CAT,CATERPILLAR INC,United States,0.46,0.39
000660.KS,SK HYNIX INC,Korea (South),2.91,0.39
CVX,CHEVRON CORP,United States,-0.95,0.38
BAC,BANK OF AMERICA CORP,United States,-0.32,0.38
PG,PROCTER & GAMBLE,United States,-1.02,0.36
HD,HOME DEPOT INC,United States,-0.66,0.36
GE,GE AEROSPACE,United States,-1.49,0.35
CSCO,CISCO SYSTEMS INC,United States,-1.14,0.34
LRCX,LAM RESEARCH CORP,United States,1.89,0.34
KO,COCA-COLA,United States,-0.91,0.34
AMAT,APPLIED MATERIAL INC,United States,0.42,0.33
AZN,ASTRAZENECA PLC,United Kingdom,-0.47,0.33
HSBA.L,HSBC HOLDINGS PLC,United Kingdom,0.49,0.33
MRK,MERCK & CO INC,United States,-1.03,0.32
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,United States,-1.86,0.31
NOVN.SW,NOVARTIS AG,Switzerland,-0.34,0.31
ROP.SW,ROCHE PS PAR AG,Switzerland,-0.35,0.3
INTC,INTEL CORPORATION CORP,United States,1.07,0.3
UNH,UNITEDHEALTH GROUP INC,United States,-0.84,0.29
SHEL.L,SHELL PLC,United Kingdom,-0.81,0.29
RTX,RTX CORP,United States,-0.8,0.29
GS,GOLDMAN SACHS GROUP INC,United States,0.45,0.29
9988.HK,ALIBABA GROUP HOLDING LTD,China,2.12,0.28
WFC,WELLS FARGO,United States,-0.72,0.28
GEV,GE VERNOVA INC,United States,2.41,0.28
NESN.SW,NESTLE SA,Switzerland,0.2,0.27
PM,PHILIP MORRIS INTERNATIONAL INC,United States,-0.5,0.26
ORCL,ORACLE CORP,United States,0.17,0.25
RY,ROYAL BANK OF CANADA,Canada,0.66,0.25
LIN,LINDE PLC,United States,-0.03,0.25
KLAC,KLA CORP,United States,0.58,0.24
C,CITIGROUP INC,United States,-0.42,0.24
IBM,INTERNATIONAL BUSINESS MACHINES CO,United States,-2.71,0.23
MCD,MCDONALDS CORP,United States,-1.25,0.23
CBA.AX,COMMONWEALTH BANK OF AUSTRALIA,Australia,0.47,0.23
PEP,PEPSICO INC,United States,-0.27,0.23
MS,MORGAN STANLEY,United States,-0.29,0.22
8306.T,MITSUBISHI UFJ FINANCIAL GROUP INC,Japan,-0.02,0.22
VZ,VERIZON COMMUNICATIONS INC,United States,-2.19,0.21
7203.T,TOYOTA MOTOR CORP,Japan,-0.36,0.21
SIE.DE,SIEMENS N AG,Germany,1.19,0.21
BHP.AX,BHP GROUP LTD,Australia,-1.06,0.21
TXN,TEXAS INSTRUMENT INC,United States,-0.12,0.21
NEE,NEXTERA ENERGY INC,United States,-0.42,0.2
AMGN,AMGEN INC,United States,-1.29,0.2
T,AT&T INC,United States,-0.38,0.2
TMO,THERMO FISHER SCIENTIFIC INC,United States,-0.87,0.2
TTE.PA,TOTALENERGIES,France,-0.33,0.19
TJX,TJX INC,United States,-2.06,0.19
SAN.MC,BANCO SANTANDER SA,Spain,1.62,0.19
ABT,ABBOTT LABORATORIES,United States,-2.36,0.19
DIS,WALT DISNEY,United States,-0.62,0.19
GILD,GILEAD SCIENCES INC,United States,-2.18,0.19
AXP,AMERICAN EXPRESS,United States,-1.34,0.18
BA,BOEING,United States,-1.1,0.18
ADI,ANALOG DEVICES INC,United States,-0.35,0.18
SAP,SAP,Germany,-0.85,0.18
TD,TORONTO DOMINION,Canada,0.84,0.18
APH,AMPHENOL CORP CLASS A,United States,2.23,0.18
ALV.DE,ALLIANZ,Germany,-0.26,0.18
SCHW,CHARLES SCHWAB CORP,United States,-2.54,0.17
SU,SCHNEIDER ELECTRIC,France,1.64,0.17
ISRG,INTUITIVE SURGICAL INC,United States,-0.95,0.17
CRM,SALESFORCE INC,United States,-3.45,0.17
DE,DEERE,United States,-2.1,0.17
ANET,ARISTA NETWORKS INC,United States,0.89,0.16
PFE,PFIZER INC,United States,-1.1,0.16
ETN,EATON PLC,United States,0.64,0.16
COP,CONOCOPHILLIPS,United States,-0.75,0.16
IBE.MC,IBERDROLA SA,Spain,-0.78,0.16
ENR.DE,SIEMENS ENERGY N AG,Germany,1.62,0.16
BLK,BLACKROCK INC,United States,-0.23,0.16
UNP,UNION PACIFIC CORP,United States,-0.25,0.16
HON,HONEYWELL INTERNATIONAL INC,United States,-0.43,0.16
WELL,WELLTOWER INC,United States,0.61,0.15
BKNG,BOOKING HOLDINGS INC,United States,-1.78,0.15
LOW,LOWES COMPANIES INC,United States,-1.45,0.15
PANW,PALO ALTO NETWORKS INC,United States,-6.74,0.14
BBVA.MC,BANCO BILBAO VIZCAYA ARGENTARIA SA,Spain,2.58,0.14
8316.T,SUMITOMO MITSUI FINANCIAL GROUP IN,Japan,-0.29,0.14
CB,CHUBB,United States,-1.51,0.13
BATS.L,BRITISH AMERICAN TOBACCO,United Kingdom,0.35,0.13
ENB,ENBRIDGE INC,Canada,-0.33,0.12
PGR,PROGRESSIVE CORP,United States,-2.88,0.12
RIO.L,RIO TINTO PLC,United Kingdom,1.34,0.12
AEM.TO,AGNICO EAGLE MINES LTD,Canada,1.12,0.12
MCK,MCKESSON CORP,United States,-0.9,0.11
SBUX,STARBUCKS CORP,United States,-0.33,0.11
SO,SOUTHERN,United States,-0.45,0.11
BNP.PA,BNP PARIBAS SA,France,0.94,0.11
CME,CME GROUP INC CLASS A,United States,-1.21,0.11
ZURN.SW,ZURICH INSURANCE GROUP AG,Switzerland,1.22,0.11
VRT,VERTIV HOLDINGS CLASS A,United States,2.6,0.11
SAN.PA,SANOFI SA,France,-0.9,0.11
DUK,DUKE ENERGY CORP,United States,-0.91,0.11
CMCSA,COMCAST CORP CLASS A,United States,-1.34,0.11
CVS,CVS HEALTH CORP,United States,0.62,0.11
2308.TW,DELTA ELECTRONICS INC,Taiwan,5.47,0.11
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,United States,-3.97,0.11
HWM,HOWMET AEROSPACE INC,United States,-0.55,0.1
ADBE,ADOBE INC,United States,-2.0,0.1
HDFCBANK.NS,HDFC BANK LTD,India,1.58,0.1
NOC,NORTHROP GRUMMAN CORP,United States,-2.44,0.1
9984.T,SOFTBANK GROUP CORP,Japan,0.08,0.09
APP,APPLOVIN CORP CLASS A,United States,3.23,0.09
BK,BANK OF NEW YORK MELLON CORP,United States,-0.79,0.09
BX,BLACKSTONE INC,United States,-1.77,0.09
2015.HK,LI AUTO CLASS A INC,China,3.2,0.01
SIG.AX,SIGMA HEALTHCARE LTD,Australia,-0.37,0.01
9502.T,CHUBU ELECTRIC POWER INC,Japan,0.02,0.01
7453.T,RYOHIN KEIKAKU LTD,Japan,4.05,0.01
ATRL.TO,ATKINSREALIS GROUP INC,Canada,0.58,0.01
2423.HK,KE HOLDINGS INC,China,-0.64,0.01
ALA.TO,ALTAGAS LTD,Canada,0.33,0.01
329180.KS,HD HYUNDAI HEAVY INDUSTRIES LTD,Korea (South),0.96,0.01
CNH,CNH INDUSTRIAL N.V. NV,United States,-0.52,0.01
196170.KS,ALTEOGEN INC,Korea (South),-2.3,0.01
SMIN.L,SMITHS GROUP PLC,United Kingdom,0.16,0.01
2883.TW,KGI FINANCIAL HOLDING LTD,Taiwan,-0.7,0.01
8473.T,SBI HOLDINGS INC,Japan,-0.42,0.01
ITC.NS,ITC LTD,India,0.41,0.01
HEIO.AS,HEINEKEN HOLDING NV,Netherlands,0.95,0.01
ASRNL.AS,ASR NEDERLAND NV,Netherlands,-0.61,0.01
047810.KS,KOREA AEROSPACE INDUSTRIES LTD,Korea (South),0.0,0.01
9868.HK,XPENG CLASS A INC,China,0.07,0.01
3402.T,TORAY INDUSTRIES INC,Japan,0.43,0.01
035720.KS,KAKAO CORP,Korea (South),0.85,0.01
AC.PA,ACCOR SA,France,0.16,0.01
3653.TW,JENTECH PRECISION INDUSTRIAL LTD,Taiwan,-2.71,0.01
042660.KS,HANWHA OCEAN LTD,Korea (South),-0.08,0.01
EUROB.AT,EUROBANK SA,Greece,-5.09,0.01
TECHM.NS,TECH MAHINDRA LTD,India,-1.46,0.01
0992.HK,LENOVO GROUP LTD,China,2.33,0.01
SGE.L,THE SAGE GROUP PLC,United Kingdom,-2.18,0.01
1216.TW,UNI-PRESIDENT ENTERPRISES CORP,Taiwan,-0.28,0.01
SOLV,SOLVENTUM CORP,United States,-0.59,0.01
CU.TO,CANADIAN UTILITIES LTD CLASS A,Canada,1.24,0.01
DKNG,DRAFTKINGS INC CLASS A,United States,-0.09,0.01
SAP,SAP,Germany,-0.85,0.18
