# SPY=Ticker
ACWI    1.34
dtype: float64
ticker,name,sector,return_pct,market_cap_b
DSY.PA,DASSAULT SYSTEMES,France,-2.19,0.02
GGG,GRACO INC,United States,2.14,0.02
NDSN,NORDSON CORP,United States,1.88,0.02
1928.T,SEKISUI HOUSE LTD,Japan,1.09,0.02
9926.HK,AKESO INC,China,-2.72,0.02
6326.T,KUBOTA CORP,Japan,1.71,0.02
MAA,MID AMERICA APARTMENT COMMUNITIES,United States,3.93,0.02
WSO,WATSCO INC,United States,1.98,0.02
FBK.MI,FINECOBANK BANCA FINECO,Italy,-1.29,0.02
2327.TW,YAGEO CORP,Taiwan,0.95,0.02
PNFP,PINNACLE FINANCIAL PARTNERS INC,United States,4.21,0.02
SHL.DE,SIEMENS HEALTHINEERS AG,Germany,-2.03,0.02
MRU.TO,METRO INC,Canada,0.3,0.02
0168.HK,KWEICHOW MOUTAI LTD A,China,0.79,0.02
FGR.PA,EIFFAGE SA,France,-1.09,0.02
2010.SR,SAUDI BASIC INDUSTRIES,Saudi Arabia,-1.17,0.02
PODD,INSULET CORP,United States,1.12,0.02
1303.TW,NAN YA PLASTICS CORP,Taiwan,-2.28,0.01
DSFIR.AS,DSM FIRMENICH AG,Netherlands,-0.3,0.01
6361.T,EBARA CORP,Japan,4.01,0.01
PNR,PENTAIR,United States,2.95,0.01
010140.KS,SAMSUNG HEAVY INDUSTRIES LTD,Korea (South),-1.72,0.01
FOXA,FOX CORP CLASS A,United States,0.85,0.01
MZTF.TA,MIZRAHI TEFAHOT BANK LTD,Israel,-2.07,0.01
S63.SI,SINGAPORE TECHNOLOGIES ENGINEERING,Singapore,1.06,0.01
COO,COOPER INC,United States,0.98,0.01
IMP.JO,IMPALA PLATINUM LTD,South Africa,-4.52,0.01
DKS,DICKS SPORTING INC,United States,2.98,0.01
SUI,SUN COMMUNITIES REIT INC,United States,1.75,0.01
GWO.TO,GREAT WEST LIFECO INC,Canada,1.38,0.01
ORSTED.CO,ORSTED A/S,Denmark,0.55,0.01
6988.T,NITTO DENKO CORP,Japan,-0.12,0.01
TYL,TYLER TECHNOLOGIES INC,United States,0.82,0.01
RIVN,RIVIAN AUTOMOTIVE INC CLASS A,United States,2.01,0.01
NBIX,NEUROCRINE BIOSCIENCES INC,United States,3.77,0.01
RPM,RPM INTERNATIONAL INC,United States,3.94,0.01
9532.T,OSAKA GAS LTD,Japan,-2.45,0.01
AGS.BR,AGEAS SA,Belgium,-0.51,0.01
EG,EVEREST GROUP LTD,United States,2.06,0.01
ZS,ZSCALER INC,United States,0.26,0.01
TXT,TEXTRON INC,United States,1.48,0.01
DSCT.TA,ISRAEL DISCOUNT BANK LTD,Israel,-1.57,0.01
CCH.L,COCA COLA HBC AG,United Kingdom,-0.57,0.01
7012.T,KAWASAKI HEAVY INDUSTRIES LTD,Japan,1.95,0.01
BBRI.JK,BANK RAKYAT INDONESIA (PERSERO),Indonesia,0.29,0.01
TW,TRADEWEB MARKETS INC CLASS A,United States,-2.97,0.01
EN.PA,BOUYGUES SA,France,-0.69,0.01
G1A.DE,GEA GROUP AG,Germany,-1.03,0.01
BG.VI,BAWAG GROUP AG,Austria,-1.62,0.01
IONQ,IONQ INC,United States,3.16,0.01
S68.SI,SINGAPORE EXCHANGE LTD,Singapore,1.55,0.01
MONC.MI,MONCLER,Italy,-0.21,0.01
TOST,TOAST INC CLASS A,United States,2.04,0.01
5713.T,SUMITOMO METAL MINING LTD,Japan,-0.79,0.01
NLY,ANNALY CAPITAL MANAGEMENT REIT INC,United States,2.98,0.01
FPH.NZ,FISHER AND PAYKEL HEALTHCARE CORPO,New Zealand,-0.66,0.01
0020.HK,SENSETIME GROUP CLASS B INC,China,1.99,0.01
REG,REGENCY CENTERS REIT CORP,United States,1.61,0.01
BBY,BEST BUY INC,United States,1.64,0.01
EMBJ3.SA,EMBRAER SA,Brazil,1.83,0.01
9503.T,KANSAI ELECTRIC POWER INC,Japan,-1.48,0.01
2890.TW,SINOPAC FINANCIAL HOLDINGS LTD,Taiwan,-1.53,0.01
SVT.L,SEVERN TRENT PLC,United Kingdom,0.06,0.01
ABEV3.SA,AMBEV SA,Brazil,-0.65,0.01
1010.SR,RIYAD BANK,Saudi Arabia,0.09,0.01
PBBANK.KL,PUBLIC BANK,Malaysia,0.43,0.01
032830.KS,SAMSUNG LIFE LTD,Korea (South),0.0,0.01
7832.T,BANDAI NAMCO HOLDINGS INC,Japan,-0.08,0.01
9104.T,MITSUI OSK LINES LTD,Japan,-3.19,0.01
MKC,MCCORMICK & CO NON-VOTING INC,United States,1.99,0.01
ELE.MC,ENDESA SA,Spain,1.11,0.01
CLX,CLOROX,United States,2.15,0.01
8601.T,DAIWA SECURITIES GROUP INC,Japan,-0.49,0.01
1801.T,TAISEI CORP,Japan,0.25,0.01
AVY,AVERY DENNISON CORP,United States,3.73,0.01
6383.T,DAIFUKU LTD,Japan,1.19,0.01
4062.T,IBIDEN LTD,Japan,3.68,0.01
INDU-C.ST,INDUSTRIVARDEN SERIES,Sweden,-0.86,0.01
IAG.TO,IA FINANCIAL INC,Canada,0.91,0.01
LYC.AX,LYNAS RARE EARTHS LTD,Australia,-1.5,0.01
IAG.AX,INSURANCE AUSTRALIA GROUP LTD,Australia,-0.13,0.01
SCG.AX,SCENTRE GROUP,Australia,0.85,0.01
2328.HK,PICC PROPERTY AND CASUALTY LTD H,China,-0.35,0.01
ALLE,ALLEGION PLC,United States,1.98,0.01
LISN.SW,CHOCOLADEFABRIKEN LINDT & SPRUENGL,Switzerland,0.48,0.01
9866.HK,NIO CLASS A INC,China,-2.29,0.01
2020.HK,ANTA SPORTS PRODUCTS LTD,China,0.65,0.01
2357.TW,ASUSTEK COMPUTER INC,Taiwan,1.0,0.01
051910.KS,LG CHEM LTD,Korea (South),1.53,0.01
BVI.PA,BUREAU VERITAS SA,France,-1.3,0.01
HEN3.DE,HENKEL & KGAA PREF AG,Germany,-1.08,0.01
SY1.DE,SYMRISE AG,Germany,-0.7,0.01
373220.KS,LG ENERGY SOLUTION LTD,Korea (South),2.63,0.01
3407.T,ASAHI KASEI CORP,Japan,-2.68,0.01
EDV.L,ENDEAVOUR MINING,United Kingdom,-2.41,0.01
RO.SW,ROCHE HOLDING AG,Switzerland,-0.66,0.01
ETE.AT,NATIONAL BANK OF GREECE SA,Greece,-3.56,0.01
3665.TW,BIZLINK HOLDING INC,Taiwan,4.02,0.01
3231.TW,WISTRON CORP,Taiwan,2.93,0.01
MAS,MASCO CORP,United States,4.47,0.01
WCP.TO,WHITECAP RESOURCES INC,Canada,-4.13,0.01
SUN.AX,SUNCORP GROUP LTD,Australia,-0.66,0.01
2503.T,KIRIN HOLDINGS LTD,Japan,-0.73,0.01
SCHP.SW,SCHINDLER HOLDING PAR AG,Switzerland,-0.94,0.01
9531.T,TOKYO GAS LTD,Japan,-3.91,0.01
SOON.SW,SONOVA HOLDING AG,Switzerland,-1.46,0.01
GLPI,GAMING AND LEISURE PROPERTIES REIT,United States,1.19,0.01
STMN.SW,STRAUMANN HOLDING AG,Switzerland,-2.58,0.01
TELIA.ST,TELIA COMPANY,Sweden,1.15,0.01
6669.TW,WIWYNN CORPORATION CORP,Taiwan,4.6,0.01
INF.L,INFORMA PLC,United Kingdom,-1.84,0.01
APTV,APTIV PLC,United States,3.65,0.01
8697.T,JAPAN EXCHANGE GROUP INC,Japan,-0.92,0.01
207940.KS,SAMSUNG BIOLOGICS LTD,Korea (South),0.25,0.01
GDDY,GODADDY INC CLASS A,United States,1.73,0.01
CARL-B.CO,CARLSBERG AS CL B,Denmark,-0.95,0.01
SOL.AX,WASHINGTON H SOUL PATTINSON & COMP,Australia,-1.45,0.01
QIBK.QA,QATAR ISLAMIC BANK,Qatar,-1.62,0.01
PINS,PINTEREST INC CLASS A,United States,0.0,0.01
AKRBP.OL,AKER BP,Norway,3.8,0.01
CG,CARLYLE GROUP INC,United States,2.73,0.01
DOC,HEALTHPEAK PROPERTIES INC,United States,1.71,0.01
OKTA,OKTA INC CLASS A,United States,0.33,0.01
033780.KS,KT&G CORP,Korea (South),0.12,0.01
2892.TW,FIRST FINANCIAL HOLDING LTD,Taiwan,0.35,0.01
0823.HK,LINK REAL ESTATE INVESTMENT TRUST,Hong Kong,-0.1,0.01
WN.TO,GEORGE WESTON LTD,Canada,0.48,0.01
KNIN.SW,KUEHNE UND NAGEL INTERNATIONAL AG,Switzerland,0.11,0.01
9633.HK,NONGFU SPRING LTD H,China,5.5,0.01
TEN.MI,TENARIS SA,Italy,1.68,0.01
ACM,AECOM,United States,1.14,0.01
PZU.WA,PZU SA,Poland,-1.03,0.01
9766.T,KONAMI GROUP CORP,Japan,1.82,0.01
TVSMOTOR.NS,TVS MOTOR COMPANY LTD,India,0.7,0.01
2368.TW,GOLD CIRCUIT ELECTRONICS LTD,Taiwan,2.98,0.01
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,United States,0.6,0.01
BKT.MC,BANKINTER SA,Spain,-0.9,0.01
IT,GARTNER INC,United States,-0.59,0.01
HTHT,H WORLD GROUP ADR LTD,China,1.53,0.01
CA.PA,CARREFOUR SA,France,1.03,0.01
CPU.AX,COMPUTERSHARE LTD,Australia,-0.84,0.01
0288.HK,WH GROUP LTD,Hong Kong,0.47,0.01
ITRK.L,INTERTEK GROUP PLC,United Kingdom,-1.27,0.01
1150.SR,ALINMA BANK,Saudi Arabia,-0.67,0.01
METSO.HE,METSO CORPORATION,Finland,-2.81,0.01
NESTE.HE,NESTE,Finland,2.64,0.01
4307.T,NOMURA RESEARCH INSTITUTE LTD,Japan,1.62,0.01
0992.HK,LENOVO GROUP LTD,China,-0.8,0.01
TEL.OL,TELENOR,Norway,1.12,0.01
JKHY,JACK HENRY AND ASSOCIATES INC,United States,-0.06,0.01
UDR,UDR REIT INC,United States,3.01,0.01
PHOE.TA,PHOENIX FINANCIAL LTD,Israel,-1.17,0.01
DPZ,DOMINOS PIZZA INC,United States,0.83,0.01
AKZA.AS,AKZO NOBEL NV,Netherlands,-2.17,0.01
6594.T,NIDEC CORP,Japan,6.17,0.01
7532.T,PAN PACIFIC INTERNATIONAL HOLDINGS,Japan,2.05,0.01
TIH.TO,TOROMONT INDUSTRIES LTD,Canada,1.14,0.01
329180.KS,HD HYUNDAI HEAVY INDUSTRIES LTD,Korea (South),1.95,0.01
SGE.L,THE SAGE GROUP PLC,United Kingdom,-2.16,0.01
EICHERMOT.NS,EICHER MOTORS LTD,India,0.74,0.01
8795.T,T&D HOLDINGS INC,Japan,-1.98,0.01
DAL,DELTA AIR LINES INC,United States,2.62,0.01
HM-B.ST,HENNES & MAURITZ,Sweden,-0.25,0.01
SIG.AX,SIGMA HEALTHCARE LTD,Australia,-0.71,0.01
LISP.SW,CHOCOLADEFABRIKEN LINDT & SPRUENGL,Switzerland,0.49,0.01
EUROB.AT,EUROBANK SA,Greece,-2.23,0.01
ENX.PA,EURONEXT NV,France,1.1,0.01
TEAM,ATLASSIAN CORP CLASS A,United States,-2.6,0.01
SMIN.L,SMITHS GROUP PLC,United Kingdom,-1.25,0.01
FORTUM.HE,FORTUM,Finland,1.56,0.01
TIT.MI,TELECOM ITALIA,Italy,-0.54,0.01
9502.T,CHUBU ELECTRIC POWER INC,Japan,-3.89,0.01
086520.KS,ECOPRO LTD,Korea (South),1.81,0.01
2020.SR,SABIC AGRI-NUTRIENTS,Saudi Arabia,0.26,0.01
