ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals
1299.HK,80.0,HOLD,-20,42.8,-0.207,84.12,84.78,-6.9,-3.61,-5.72,-3.21,0.58,11.991919,0.094,0.06,"['RSI=42.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-6.9%(買いシグナル)']"
9988.HK,119.9,HOLD,-10,28.9,-0.341,134.08,149.95,0.2,-10.92,-18.99,-18.1,0.69,14.800639,-0.709,0.017,"['RSI=28.9 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=0.2%(買いシグナル)', '1ヶ月モメンタム -19.0%(強い下落)']"
0700.HK,499.8,HOLD,-20,35.1,-0.555,525.96,561.91,16.3,-9.13,-3.88,-18.67,0.58,12.825183,0.149,0.127,"['RSI=35.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=16.3%(買いシグナル)']"
005930.KS,188100.0,HOLD,-15,51.1,-1170.687,194000.0,171934.0,37.3,-2.99,-2.54,77.81,0.61,6.544235,1.622,0.238,"['RSI=51.1 中立', 'MACD デッドクロス(売りシグナル)']"
0939.HK,7.82,HOLD,-15,43.9,-0.001,7.96,7.91,20.1,-3.58,-2.98,3.71,0.64,5.27207,0.0,0.03,"['RSI=43.9 中立', 'MACD デッドクロス(売りシグナル)']"
1810.HK,32.06,HOLD,0,38.5,0.07,33.92,35.3,16.3,-9.33,-10.3,-19.45,0.69,18.361048,1.187,0.223,"['RSI=38.5 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=16.3%(買いシグナル)', '1ヶ月モメンタム -10.3%(強い下落)']"
005935.KS,132600.0,HOLD,-15,50.7,-562.067,135980.0,122482.0,40.0,-5.96,-2.57,60.21,0.53,5.8369303,1.622,0.238,"['RSI=50.7 中立', 'MACD デッドクロス(売りシグナル)']"
000660.KS,943000.0,HOLD,-15,50.8,-2513.374,965676.12,874250.01,41.2,-2.78,-0.66,72.71,0.53,4.3209267,0.852,0.661,"['RSI=50.8 中立', 'MACD デッドクロス(売りシグナル)']"
0388.HK,380.4,HOLD,-20,32.0,-1.676,403.4,411.8,-34.1,-5.93,-6.56,-5.05,1.06,25.109274,0.151,0.138,"['RSI=32.0 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-34.1%(買いシグナル)']"
3690.HK,77.1,HOLD,0,38.5,0.815,78.44,88.1,34.9,-3.63,-5.28,-25.0,0.5,43.273323,,0.02,"['RSI=38.5 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']"
