ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals,order_book
0939.HK,8.07,HOLD,-10,29.2,-0.071,8.6,8.72,-8.2,-4.95,-6.81,-3.81,1.81,5.077997,0.0,0.05,"['RSI=29.2 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-8.2%(買いシグナル)', '出来高急増 1.8x(注目)']",{}
1299.HK,71.45,SELL,-40,36.1,-0.014,74.26,79.81,27.7,-2.99,-12.97,-14.33,0.63,10.561482,0.094,0.06,"['RSI=36.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -13.0%(強い下落)']",{}
9988.HK,92.85,HOLD,-10,26.5,-1.333,108.46,121.92,16.3,-6.59,-28.99,-21.89,0.87,10.069895,1.041,0.029,"['RSI=26.5 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=16.3%(買いシグナル)', '1ヶ月モメンタム -29.0%(強い下落)']",{}
005930.KS,317500.0,HOLD,-15,49.1,-4978.94,332075.0,293110.0,31.4,-11.44,-9.67,70.52,0.43,5.125275,4.921,0.692,"['RSI=49.1 中立', 'MACD デッドクロス(売りシグナル)']",{}
0700.HK,429.8,SELL,-40,44.7,-1.87,444.93,456.03,29.9,0.23,-10.76,-10.16,1.11,11.30587,0.229,0.091,"['RSI=44.7 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -10.8%(強い下落)']",{}
005935.KS,201500.0,HOLD,-15,47.6,-2940.0,212775.0,192504.0,26.9,-14.26,-8.41,61.98,0.42,3.6178226,4.921,0.692,"['RSI=47.6 中立', 'MACD デッドクロス(売りシグナル)']",{}
1810.HK,21.64,HOLD,-10,21.8,-0.291,25.29,28.48,13.0,-5.75,-26.94,-31.86,1.06,12.307344,-0.581,-0.109,"['RSI=21.8 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=13.0%(買いシグナル)', '1ヶ月モメンタム -26.9%(強い下落)']",{}
3690.HK,68.5,SELL,-40,37.9,-0.682,74.42,79.22,23.3,1.11,-19.88,-17.42,1.13,14.420506,,0.056,"['RSI=37.9 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -19.9%(強い下落)']",{}
000660.KS,2556000.0,HOLD,10,55.6,-22603.468,2447600.0,2000460.46,59.3,-12.38,11.23,191.83,0.44,5.8004413,3.966,1.981,"['RSI=55.6 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +11.2%(強い上昇)']",{}
005380.KS,480500.0,SELL,-30,32.1,-14995.788,583000.0,601654.56,13.4,-4.47,-31.36,2.39,0.42,9.725966,-0.431,0.034,"['RSI=32.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=13.4%(買いシグナル)', '1ヶ月モメンタム -31.4%(強い下落)']",{}
0388.HK,363.0,SELL,-30,31.2,-1.224,381.75,400.7,15.9,-2.21,-11.55,-6.59,0.97,23.226099,0.27,0.19,"['RSI=31.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=15.9%(買いシグナル)', '1ヶ月モメンタム -11.5%(強い下落)']",{}
3988.HK,4.99,HOLD,-15,37.0,-0.051,5.29,5.22,0.2,-5.31,-6.03,0.4,1.62,5.5307364,0.0,0.059,"['RSI=37.0 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=0.2%(買いシグナル)', '出来高急増 1.6x(注目)']",{}
2318.HK,51.05,HOLD,-10,29.0,-0.433,55.31,58.14,6.4,-3.41,-12.88,-11.16,1.0,4.6760883,-0.132,-0.033,"['RSI=29.0 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=6.4%(買いシグナル)', '1ヶ月モメンタム -12.9%(強い下落)']",{}
1398.HK,6.43,SELL,-30,33.1,-0.06,6.86,6.89,-3.6,-5.02,-5.44,-3.6,2.07,5.147891,0.043,0.034,"['RSI=33.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-3.6%(買いシグナル)', '出来高急増 2.1x(注目)']",{}
1211.HK,72.45,HOLD,-10,21.8,-0.777,82.98,92.45,12.0,-4.61,-24.76,-31.19,1.03,11.781686,-0.569,-0.118,"['RSI=21.8 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=12.0%(買いシグナル)', '1ヶ月モメンタム -24.8%(強い下落)']",{}
402340.KS,1706000.0,HOLD,10,59.7,-11677.525,1551400.0,1232740.77,65.3,-10.16,25.35,253.67,0.59,5.0341134,4.201,3.188,"['RSI=59.7 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +25.3%(強い上昇)']",{}
9888.HK,109.6,SELL,-40,43.7,-0.585,114.36,123.31,37.6,2.33,-18.63,3.69,1.43,12.511719,-0.593,-0.012,"['RSI=43.7 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -18.6%(強い下落)']",{}
9961.HK,311.6,SELL,-30,30.4,-4.803,356.9,382.71,1.9,-11.88,-19.94,-18.17,1.36,8.822125,-0.397,0.172,"['RSI=30.4 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=1.9%(買いシグナル)', '1ヶ月モメンタム -19.9%(強い下落)']",{}
105560.KS,156600.0,HOLD,-15,49.8,-511.103,158440.0,157155.16,43.2,3.09,-4.63,8.41,0.38,8.226974,0.168,0.152,"['RSI=49.8 中立', 'MACD デッドクロス(売りシグナル)']",{}
9618.HK,99.25,SELL,-30,31.8,-1.187,108.78,115.55,14.6,-1.83,-17.36,-11.93,1.27,6.1435027,-0.507,0.049,"['RSI=31.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=14.6%(買いシグナル)', '1ヶ月モメンタム -17.4%(強い下落)']",{}
9999.HK,202.4,BUY,30,62.4,0.156,192.76,186.12,92.5,9.05,2.5,18.8,2.19,12.326095,0.031,0.061,"['RSI=62.4 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=92.5%(売りシグナル)', '出来高急増 2.2x(注目)']",{}
034020.KS,87200.0,SELL,-40,40.2,-356.464,92720.0,107376.0,27.2,-0.68,-12.1,-9.73,0.44,88.88982,,0.137,"['RSI=40.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -12.1%(強い下落)']",{}
012450.KS,1080000.0,HOLD,15,45.8,1183.988,1076550.0,1220720.0,51.4,1.03,1.12,-25.47,0.48,19.016546,2.849,0.049,"['RSI=45.8 中立', 'MACD ゴールデンクロス(買いシグナル)']",{}
