# N225=0.0
ticker,name,sector,return_pct,market_cap_b
1662,石油資源開発,鉱業,0.18,1.65
1801,大成建設,建設業,0.48,14.78
1802,大林組,建設業,0.19,3.18
1803,清水建設,建設業,-2.01,2.58
1808,長谷工コーポレーション,建設業,0.8,2.71
1812,鹿島建設,建設業,0.51,5.93
1925,大和ハウス工業,建設業,0.74,4.38
1928,積水ハウス,建設業,-0.21,3.29
2002,日清製粉グループ本社,食料品,-0.7,1.91
2269,明治ホールディングス,食料品,-0.28,3.61
2282,日本ハム,食料品,-1.87,5.94
2501,サッポロホールディングス,食料品,2.78,1.72
2502,アサヒグループホールディングス,食料品,1.0,1.52
2503,キリンホールディングス,食料品,0.59,2.74
2531,宝ホールディングス,食料品,3.82,2.19
2801,キッコーマン,食料品,-1.74,1.55
2802,味の素,食料品,1.87,5.24
2871,ニチレイ,食料品,-1.64,2.04
2914,日本たばこ産業,食料品,-0.34,6.08
3401,帝人,繊維製品,0.37,1.65
3402,東レ,繊維製品,0.59,1.18
3861,王子ホールディングス,繊維製品,0.97,0.8
3863,日本製紙,繊維製品,1.22,1.25
3865,北越コーポレーション,パルプ・紙,0.83,0.97
4004,レゾナック・ホールディングス,化学,0.11,18.31
4005,住友化学,化学,0.14,0.58
4021,日産化学,化学,1.54,7.92
4042,東ソー,化学,-0.95,3.02
4043,トクヤマ,化学,1.92,5.11
4061,デンカ,化学,3.28,4.34
4063,信越化学工業,化学,1.18,7.54
4151,協和キリン,化学,1.64,2.44
4183,三井化学,化学,1.46,2.16
4188,三菱ケミカルグループ,化学,2.81,1.14
4208,UBE,化学,-0.94,3.17
4272,日本化薬,化学,0.31,2.1
4452,花王,化学,1.46,6.18
4631,DIC,化学,1.72,5.15
4901,富士フイルムホールディングス,化学,0.24,3.39
4911,資生堂,化学,2.12,2.61
4502,武田薬品工業,医薬品,-1.31,4.95
4503,アステラス製薬,医薬品,-0.93,2.12
4506,住友ファーマ,医薬品,0.1,1.49
4507,塩野義製薬,医薬品,1.12,2.84
4519,中外製薬,医薬品,1.65,7.65
4523,エーザイ,医薬品,2.21,3.83
4528,小野薬品工業,医薬品,-0.49,2.25
4536,参天製薬,医薬品,-2.11,1.88
4543,テルモ,医薬品,1.53,2.25
4568,第一三共,医薬品,2.98,2.59
4578,大塚ホールディングス,医薬品,2.99,10.67
5019,出光興産,石油・石炭製品,-0.54,1.28
5020,ENEOSホールディングス,石油・石炭製品,0.4,1.25
5101,横浜ゴム,ゴム製品,-0.86,7.76
5105,TOYO TIRE,ゴム製品,-0.44,3.83
5108,ブリヂストン,ゴム製品,0.78,3.5
5201,AGC,ガラス・土石製品,1.4,7.37
5202,日本板硝子,ガラス・土石製品,0.21,0.47
5214,日本電気硝子,ガラス・土石製品,3.3,6.57
5233,太平洋セメント,ガラス・土石製品,1.33,4.43
5301,東海カーボン,ガラス・土石製品,-0.66,1.8
5332,TOTO,ガラス・土石製品,0.95,8.22
5333,日本碍子,ガラス・土石製品,2.88,6.94
5334,日本特殊陶業,ガラス・土石製品,4.41,10.77
5401,日本製鉄,鉄鋼,-1.43,0.56
5406,神戸製鋼所,鉄鋼,-0.63,1.98
5411,JFEホールディングス,鉄鋼,-0.76,1.63
5423,東京製鐵,鉄鋼,1.66,1.77
5706,三井金属鉱業,非鉄金属,-2.45,47.31
5707,東邦亜鉛,非鉄金属,2.38,0.9
5711,三菱マテリアル,非鉄金属,-0.33,4.88
5713,住友金属鉱山,非鉄金属,3.26,9.15
5714,DOWAホールディングス,非鉄金属,1.24,9.8
5802,住友電気工業,非鉄金属,0.53,12.38
5803,フジクラ,非鉄金属,-0.11,4.73
5805,SWCC,非鉄金属,1.46,13.94
5901,東洋製罐グループホールディングス,金属製品,1.33,4.04
5929,三和ホールディングス,金属製品,0.41,3.72
6103,オークマ,機械,1.8,4.54
6113,アマダ,機械,1.17,3.1
6146,ディスコ,機械,3.05,84.04
6301,小松製作所,機械,0.0,6.65
6302,住友重機械工業,機械,-0.06,5.36
6305,日立建機,機械,-0.37,5.4
6326,クボタ,機械,-0.44,2.86
6361,荏原製作所,機械,3.66,6.46
6366,千代田化工建設,機械,4.46,0.8
6367,ダイキン工業,機械,0.85,23.79
6369,トーヨーカネツ,機械,5.85,2.35
6383,ダイフク,機械,2.79,7.07
6412,平和,機械,-1.17,2.04
6417,SANKYO,機械,-2.58,1.53
6432,竹内製作所,機械,0.27,7.42
6436,アマノ,機械,0.03,3.56
6445,ジャノメ,機械,1.49,1.36
6448,ブラザー工業,機械,1.3,3.82
6471,日本精工,機械,0.17,1.19
6473,ジェイテクト,機械,-0.22,2.04
6474,不二越,機械,0.51,5.93
6674,GSユアサ,電気機器,2.88,6.76
6976,太陽誘電,電気機器,0.94,20.38
6988,日東電工,電気機器,1.06,3.14
7272,ヤマハ発動機,輸送用機器,0.2,1.22
2413,エムスリー,サービス業,1.51,1.61
4324,電通グループ,サービス業,-0.29,3.11
9602,東宝,サービス業,-0.19,1.28
