ticker,name,sector,return_pct,market_cap_b
ALGN,Align Technology,Health Care,-1.74,12.4
AMD,Advanced Micro Devices,Information Technology,-1.92,328.3
AKAM,Akamai Technologies,Information Technology,0.44,16.0
ABBV,AbbVie,Health Care,-0.56,362.6
ADBE,Adobe Inc.,Information Technology,0.88,101.9
AES,AES Corporation,Utilities,-0.35,10.0
ACN,Accenture,Information Technology,-1.75,124.0
AOS,A. O. Smith,Industrials,-0.7,8.9
A,Agilent Technologies,Health Care,-0.4,31.5
LNT,Alliant Energy,Utilities,-3.66,17.7
APD,Air Products,Materials,-1.11,62.6
ALL,Allstate,Financials,0.76,53.4
ABT,Abbott Laboratories,Health Care,-1.61,183.3
AFL,Aflac,Financials,-0.89,54.8
MMM,3M,Industrials,-1.06,74.4
ABNB,Airbnb,Consumer Discretionary,-1.74,77.0
GOOGL,Alphabet Inc. (Class A),Communication Services,-2.0,3641.2
ALLE,Allegion,Industrials,-0.93,12.3
ALB,Albemarle Corporation,Materials,-4.02,18.5
ARE,Alexandria Real Estate Equities,Real Estate,-4.3,8.2
AMCR,Amcor,Materials,-1.06,17.7
AMZN,Amazon,Consumer Discretionary,-1.62,2204.6
GOOG,Alphabet Inc. (Class C),Communication Services,-2.27,3614.5
AEE,Ameren,Utilities,-3.19,29.3
AMP,Ameriprise Financial,Financials,1.12,40.8
AMGN,Amgen,Health Care,-0.61,187.5
AIG,American International Group,Financials,0.68,40.1
ADI,Analog Devices,Information Technology,-0.33,151.1
AME,Ametek,Industrials,-1.01,48.0
AMT,American Tower,Real Estate,-3.27,82.8
APO,Apollo Global Management,Financials,0.57,65.0
AEP,American Electric Power,Utilities,-2.38,68.0
APH,Amphenol,Information Technology,-2.99,155.8
APA,APA Corporation,Energy,2.76,13.8
AMAT,Applied Materials,Information Technology,-0.04,283.4
AON,Aon plc,Financials,2.73,70.0
MO,Altria,Consumer Staples,-0.92,108.2
AWK,American Water Works,Utilities,-0.96,26.5
AAPL,Apple Inc.,Information Technology,-0.39,3644.9
AXP,American Express,Financials,0.19,202.9
ANET,Arista Networks,Information Technology,-3.7,165.2
APP,AppLovin,Information Technology,0.56,149.5
APTV,Aptiv,Consumer Discretionary,-1.55,14.5
AJG,Arthur J. Gallagher & Co.,Financials,2.45,55.2
ADM,Archer Daniels Midland,Consumer Staples,-3.6,31.8
ACGL,Arch Capital Group,Financials,0.14,33.5
ARES,Ares Management,Financials,-1.96,35.0
AIZ,Assurant,Financials,0.45,10.7
AXON,Axon Enterprise,Industrials,-1.18,39.9
ADSK,Autodesk,Information Technology,0.14,52.6
ATO,Atmos Energy,Utilities,-2.39,29.9
AZO,AutoZone,Consumer Discretionary,-1.76,54.2
T,AT&T,Communication Services,2.05,200.7
AVB,AvalonBay Communities,Real Estate,-2.34,22.8
AVY,Avery Dennison,Materials,-1.12,12.4
ADP,Automatic Data Processing,Industrials,-0.94,84.4
BKR,Baker Hughes,Energy,-0.59,59.6
BALL,Ball Corporation,Materials,-3.27,15.3
BAX,Baxter International,Health Care,-3.06,8.3
BAC,Bank of America,Financials,0.32,344.4
BX,Blackstone Inc.,Financials,-2.68,135.0
BBY,Best Buy,Consumer Discretionary,-2.17,13.2
BIIB,Biogen,Health Care,-1.06,26.6
XYZ,"Block, Inc.",Financials,0.64,36.1
BDX,Becton Dickinson,Health Care,-1.53,55.8
BLK,BlackRock,Financials,-1.21,149.0
TECH,Bio-Techne,Health Care,-0.21,8.1
BSX,Boston Scientific,Health Care,-0.59,103.1
AVGO,Broadcom,Information Technology,-2.92,1472.2
BK,BNY Mellon,Financials,0.03,80.2
