# SPY=-1.59
ticker,name,sector,return_pct,market_cap_b
ABT,Abbott Laboratories,Health Care,0.1,182.4
AOS,A. O. Smith,Industrials,-2.33,9.0
MMM,3M,Industrials,-2.11,76.3
ABBV,AbbVie,Health Care,1.78,372.8
ADBE,Adobe Inc.,Information Technology,1.28,98.6
ACN,Accenture,Information Technology,1.92,120.6
AMD,Advanced Micro Devices,Information Technology,-6.97,334.1
AFL,Aflac,Financials,0.69,56.6
AES,AES Corporation,Utilities,-0.36,10.0
A,Agilent Technologies,Health Care,0.81,32.2
APD,Air Products,Materials,1.38,65.5
ABNB,Airbnb,Consumer Discretionary,-0.77,78.4
AKAM,Akamai Technologies,Information Technology,-2.19,16.9
ARE,Alexandria Real Estate Equities,Real Estate,0.35,8.2
ALB,Albemarle Corporation,Materials,-2.99,20.7
ALGN,Align Technology,Health Care,-1.87,12.7
ALLE,Allegion,Industrials,-1.26,12.5
LNT,Alliant Energy,Utilities,0.5,18.0
ALL,Allstate,Financials,0.97,53.6
GOOGL,Alphabet Inc. (Class A),Communication Services,-3.37,3401.0
GOOG,Alphabet Inc. (Class C),Communication Services,-3.07,3395.5
MO,Altria,Consumer Staples,1.31,108.5
AMCR,Amcor,Materials,-1.91,18.4
AMZN,Amazon,Consumer Discretionary,-1.66,2235.0
AEP,American Electric Power,Utilities,0.12,69.8
AXP,American Express,Financials,-0.73,204.7
AEE,Ameren,Utilities,0.37,29.9
AIG,American International Group,Financials,-1.34,40.2
AWK,American Water Works,Utilities,1.63,26.7
AMT,American Tower,Real Estate,0.12,78.4
AMP,Ameriprise Financial,Financials,-0.51,41.8
AMGN,Amgen,Health Care,-0.42,190.0
AME,Ametek,Industrials,-1.53,48.6
APH,Amphenol,Information Technology,-3.96,152.0
ADI,Analog Devices,Information Technology,-2.26,153.7
AON,Aon plc,Financials,0.55,69.5
APA,APA Corporation,Energy,3.23,15.1
APO,Apollo Global Management,Financials,0.62,64.1
AAPL,Apple Inc.,Information Technology,0.52,3732.3
AMAT,Applied Materials,Information Technology,-7.69,270.6
APP,AppLovin,Information Technology,-9.8,133.1
APTV,Aptiv,Consumer Discretionary,-0.94,15.0
ACGL,Arch Capital Group,Financials,0.68,34.1
ADM,Archer Daniels Midland,Consumer Staples,1.47,35.0
