# SPY=nan
ticker,name,sector,return_pct,market_cap_b
MMM,3M,Industrials,1.35,76.9
ABT,Abbott Laboratories,Health Care,0.39,182.4
AOS,A. O. Smith,Industrials,-0.38,9.0
ABBV,AbbVie,Health Care,-0.03,373.3
ACN,Accenture,Information Technology,-2.02,118.4
ADBE,Adobe Inc.,Information Technology,-2.72,95.5
AMD,Advanced Micro Devices,Information Technology,-1.02,328.8
AES,AES Corporation,Utilities,0.39,10.0
AFL,Aflac,Financials,-0.39,56.5
A,Agilent Technologies,Health Care,-2.17,31.4
APD,Air Products,Materials,-0.3,65.1
ABNB,Airbnb,Consumer Discretionary,-5.38,74.3
AKAM,Akamai Technologies,Information Technology,-2.74,16.5
ALB,Albemarle Corporation,Materials,3.2,21.2
ARE,Alexandria Real Estate Equities,Real Estate,-2.41,8.1
ALGN,Align Technology,Health Care,-6.06,12.0
ALLE,Allegion,Industrials,-0.21,12.5
LNT,Alliant Energy,Utilities,1.21,18.3
ALL,Allstate,Financials,-0.82,53.3
GOOGL,Alphabet Inc. (Class A),Communication Services,-1.47,3348.2
GOOG,Alphabet Inc. (Class C),Communication Services,-1.64,3340.0
AMZN,Amazon,Consumer Discretionary,-3.07,2159.2
MO,Altria,Consumer Staples,3.03,111.8
AMCR,Amcor,Materials,-1.01,18.2
AEE,Ameren,Utilities,0.76,30.2
AEP,American Electric Power,Utilities,1.79,71.3
AXP,American Express,Financials,-1.56,202.4
AIG,American International Group,Financials,-0.65,39.8
AWK,American Water Works,Utilities,0.4,27.0
AMT,American Tower,Real Estate,0.87,79.8
AMP,Ameriprise Financial,Financials,-1.26,41.1
AME,Ametek,Industrials,0.09,48.5
AMGN,Amgen,Health Care,-0.67,189.1
APH,Amphenol,Information Technology,1.14,153.1
ADI,Analog Devices,Information Technology,-1.01,151.5
AON,Aon plc,Financials,-2.7,67.7
APA,APA Corporation,Energy,2.57,15.5
APO,Apollo Global Management,Financials,-0.28,63.7
AAPL,Apple Inc.,Information Technology,-0.18,3710.2
AMAT,Applied Materials,Information Technology,0.44,269.9
APP,AppLovin,Information Technology,-1.25,130.6
APTV,Aptiv,Consumer Discretionary,-3.51,14.6
ACGL,Arch Capital Group,Financials,0.03,33.5
ADM,Archer Daniels Midland,Consumer Staples,1.52,35.3
ARES,Ares Management,Financials,0.57,35.9
ANET,Arista Networks,Information Technology,-0.25,153.9
AJG,Arthur J. Gallagher & Co.,Financials,-0.72,53.7
AIZ,Assurant,Financials,-1.71,10.7
T,AT&T,Communication Services,0.86,204.2
ATO,Atmos Energy,Utilities,0.55,30.5
ADSK,Autodesk,Information Technology,-3.69,49.0
ADP,Automatic Data Processing,Industrials,-1.62,81.4
AZO,AutoZone,Consumer Discretionary,-1.04,55.5
AVB,AvalonBay Communities,Real Estate,-0.89,22.9
AVY,Avery Dennison,Materials,0.49,13.0
AXON,Axon Enterprise,Industrials,-3.14,35.1
BKR,Baker Hughes,Energy,1.67,62.7
BALL,Ball Corporation,Materials,0.4,15.9
BAC,Bank of America,Financials,-1.51,341.0
BAX,Baxter International,Health Care,-3.03,8.3
BDX,Becton Dickinson,Health Care,-0.88,56.5
BBY,Best Buy,Consumer Discretionary,-1.11,13.1
TECH,Bio-Techne,Health Care,-3.06,8.0
BIIB,Biogen,Health Care,-2.58,27.3
BLK,BlackRock,Financials,-1.64,148.2
XYZ,"Block, Inc.",Financials,-4.49,34.5
BX,Blackstone Inc.,Financials,0.78,135.0
BK,BNY Mellon,Financials,-0.63,80.8
BKNG,Booking Holdings,Consumer Discretionary,-2.95,131.8
BA,Boeing,Industrials,-1.98,149.7
BSX,Boston Scientific,Health Care,-1.45,102.8
BMY,Bristol Myers Squibb,Health Care,-0.88,120.3
AVGO,Broadcom,Information Technology,-2.31,1432.9
BR,Broadridge Financial Solutions,Industrials,-0.6,18.5
BRO,Brown & Brown,Financials,-1.5,21.8
BLDR,Builders FirstSource,Industrials,-0.32,9.1
BG,Bunge Global,Consumer Staples,3.31,25.1
BXP,"BXP, Inc.",Real Estate,-2.09,9.2
CHRW,C.H. Robinson,Industrials,-1.95,19.5
CDNS,Cadence Design Systems,Information Technology,-1.66,76.2
CPT,Camden Property Trust,Real Estate,-0.61,10.3
CPB,The Campbell's Company,Consumer Staples,5.2,6.6
COF,Capital One,Financials,-2.49,110.4
CAH,Cardinal Health,Health Care,-0.9,48.4
CCL,Carnival,Consumer Discretionary,-4.0,33.6
CARR,Carrier Global,Industrials,0.27,45.8
CVNA,Carvana,Consumer Discretionary,0.4,66.7
CAT,Caterpillar Inc.,Industrials,-0.04,329.0
CBOE,Cboe Global Markets,Financials,0.11,29.3
CBRE,CBRE Group,Real Estate,-1.43,39.5
