# SPY=0.26
ticker,name,sector,return_pct,market_cap_b
ABT,Abbott Laboratories,Health Care,-1.28,176.2
MMM,3M,Industrials,0.49,79.7
AOS,A. O. Smith,Industrials,-0.2,9.3
ADBE,Adobe Inc.,Information Technology,-1.54,92.3
ABBV,AbbVie,Health Care,-0.43,374.1
ACN,Accenture,Information Technology,-2.01,112.2
AMD,Advanced Micro Devices,Information Technology,4.03,401.3
AES,AES Corporation,Utilities,0.07,10.3
AFL,Aflac,Financials,-1.45,58.4
A,Agilent Technologies,Health Care,0.19,32.7
APD,Air Products,Materials,0.35,66.5
ABNB,Airbnb,Consumer Discretionary,-0.7,76.9
AKAM,Akamai Technologies,Information Technology,-8.9,14.7
ALB,Albemarle Corporation,Materials,3.26,21.0
ARE,Alexandria Real Estate Equities,Real Estate,0.68,7.7
ALGN,Align Technology,Health Care,0.56,12.6
ALLE,Allegion,Industrials,-0.24,12.6
LNT,Alliant Energy,Utilities,-0.3,19.0
ALL,Allstate,Financials,-1.59,54.8
GOOGL,Alphabet Inc. (Class A),Communication Services,0.26,3862.8
GOOG,Alphabet Inc. (Class C),Communication Services,0.25,3836.7
MO,Altria,Consumer Staples,-0.35,112.4
AMZN,Amazon,Consumer Discretionary,2.39,2572.8
AMCR,Amcor,Materials,0.62,19.4
AEP,American Electric Power,Utilities,0.09,74.6
AEE,Ameren,Utilities,-0.1,31.6
AXP,American Express,Financials,-0.81,216.4
AIG,American International Group,Financials,-0.89,41.3
AMT,American Tower,Real Estate,0.58,84.4
AWK,American Water Works,Utilities,-0.18,27.1
AMP,Ameriprise Financial,Financials,-1.44,41.5
AME,Ametek,Industrials,0.2,53.6
AMGN,Amgen,Health Care,-0.29,191.1
APH,Amphenol,Information Technology,1.21,171.3
ADI,Analog Devices,Information Technology,-0.43,170.8
AON,Aon plc,Financials,-2.62,68.1
APO,Apollo Global Management,Financials,-0.9,61.5
APA,APA Corporation,Energy,-1.31,13.6
AAPL,Apple Inc.,Information Technology,0.45,3845.7
AMAT,Applied Materials,Information Technology,1.77,321.3
APP,AppLovin,Information Technology,-0.22,127.9
APTV,Aptiv,Consumer Discretionary,0.56,15.2
ACGL,Arch Capital Group,Financials,-2.15,34.5
ADM,Archer Daniels Midland,Consumer Staples,-0.11,33.9
ARES,Ares Management,Financials,-2.34,33.9
ANET,Arista Networks,Information Technology,0.37,184.6
AJG,Arthur J. Gallagher & Co.,Financials,-2.21,54.9
AIZ,Assurant,Financials,-1.48,11.0
T,AT&T,Communication Services,-0.88,186.3
ATO,Atmos Energy,Utilities,-0.52,31.6
ADSK,Autodesk,Information Technology,-4.04,45.8
ADP,Automatic Data Processing,Industrials,-1.61,78.0
AZO,AutoZone,Consumer Discretionary,-1.41,57.8
AVB,AvalonBay Communities,Real Estate,0.85,23.8
AVY,Avery Dennison,Materials,-0.21,13.3
AXON,Axon Enterprise,Industrials,-1.92,27.7
BKR,Baker Hughes,Energy,-1.07,62.2
BALL,Ball Corporation,Materials,0.62,16.8
BAC,Bank of America,Financials,-0.22,377.5
BAX,Baxter International,Health Care,0.95,9.0
BDX,Becton Dickinson,Health Care,0.14,56.4
BBY,Best Buy,Consumer Discretionary,-0.19,13.5
TECH,Bio-Techne,Health Care,0.49,8.7
BIIB,Biogen,Health Care,-1.77,25.5
BLK,BlackRock,Financials,-0.01,155.8
BX,Blackstone Inc.,Financials,-1.0,141.5
XYZ,"Block, Inc.",Financials,-1.15,37.7
BK,BNY Mellon,Financials,-0.82,88.9
BA,Boeing,Industrials,-0.68,171.8
BKNG,Booking Holdings,Consumer Discretionary,-0.64,138.9
BSX,Boston Scientific,Health Care,0.54,91.6
BMY,Bristol Myers Squibb,Health Care,-0.97,120.2
AVGO,Broadcom,Information Technology,5.18,1769.9
BR,Broadridge Financial Solutions,Industrials,-1.62,17.8
BRO,Brown & Brown,Financials,-1.83,22.4
BG,Bunge Global,Consumer Staples,0.53,23.9
BLDR,Builders FirstSource,Industrials,1.57,9.6
BXP,"BXP, Inc.",Real Estate,1.35,9.4
CHRW,C.H. Robinson,Industrials,-0.73,20.0
CDNS,Cadence Design Systems,Information Technology,-3.74,74.7
CPT,Camden Property Trust,Real Estate,0.93,10.7
CPB,Campbell's Company (The),Consumer Staples,0.96,6.3
COF,Capital One,Financials,-0.78,120.2
CAH,Cardinal Health,Health Care,-0.76,50.4
CCL,Carnival,Consumer Discretionary,0.22,38.7
CVNA,Carvana,Consumer Discretionary,1.75,73.3
CARR,Carrier Global,Industrials,3.02,52.9
CASY,Casey's,Consumer Staples,-2.49,27.4
CBOE,Cboe Global Markets,Financials,0.14,30.9
CAT,Caterpillar Inc.,Industrials,0.54,370.3
CBRE,CBRE Group,Real Estate,-0.23,42.0
CDW,CDW Corporation,Information Technology,0.99,16.7
COR,Cencora,Health Care,-2.25,61.3
CNC,Centene Corporation,Health Care,-1.0,18.3
CNP,CenterPoint Energy,Utilities,-0.53,28.7
CF,CF Industries,Materials,-0.33,18.3
CRL,Charles River Laboratories,Health Care,-0.09,8.7
SCHW,Charles Schwab Corporation,Financials,-2.31,166.5
CHTR,Charter Communications,Communication Services,0.35,28.4
CVX,Chevron Corporation,Energy,-1.61,373.1
CMG,Chipotle Mexican Grill,Consumer Discretionary,0.01,45.3
CB,Chubb Limited,Financials,-1.49,128.3
CHD,Church & Dwight,Consumer Staples,0.11,22.8
CIEN,Ciena,Information Technology,1.66,70.1
CI,Cigna,Health Care,-0.64,73.9
CINF,Cincinnati Financial,Financials,-0.41,25.4
CTAS,Cintas,Industrials,0.49,70.0
CSCO,Cisco,Information Technology,-1.19,324.7
C,Citigroup,Financials,-0.12,218.3
CFG,Citizens Financial Group,Financials,-0.75,27.4
CLX,Clorox,Consumer Staples,0.11,13.1
CME,CME Group,Financials,-0.35,108.1
CMS,CMS Energy,Utilities,-0.14,24.6
KO,Coca-Cola Company (The),Consumer Staples,-0.12,336.1
CTSH,Cognizant,Information Technology,-1.39,28.2
COHR,Coherent Corp.,Information Technology,3.46,55.1
COIN,Coinbase,Financials,-1.5,44.9
CL,Colgate-Palmolive,Consumer Staples,-1.02,68.4
CMCSA,Comcast,Communication Services,0.41,103.6
FIX,Comfort Systems USA,Industrials,1.94,56.6
CAG,Conagra Brands,Consumer Staples,-0.23,7.4
COP,ConocoPhillips,Energy,-1.13,149.2
ED,Consolidated Edison,Utilities,-0.44,42.2
STZ,Constellation Brands,Consumer Staples,2.13,29.0
CEG,Constellation Energy,Utilities,3.08,104.7
COO,Cooper Companies (The),Health Care,0.13,14.0
CPRT,Copart,Industrials,-0.48,31.8
GLW,Corning Inc.,Information Technology,0.61,146.8
CPAY,Corpay,Financials,-0.73,21.3
CTVA,Corteva,Materials,0.22,56.3
CSGP,CoStar Group,Real Estate,-1.31,15.6
COST,Costco,Consumer Staples,-2.24,447.8
CTRA,Coterra,Energy,-1.52,25.0
CRH,CRH plc,Materials,2.76,79.3
CRWD,CrowdStrike,Information Technology,-6.66,93.4
CCI,Crown Castle,Real Estate,0.42,37.9
CSX,CSX Corporation,Industrials,0.38,79.3
CMI,Cummins,Industrials,1.39,85.7
CVS,CVS Health,Health Care,0.11,101.2
DHR,Danaher Corporation,Health Care,-0.25,136.2
DRI,Darden Restaurants,Consumer Discretionary,-1.41,22.3
DDOG,Datadog,Information Technology,-6.93,35.9
DVA,DaVita,Health Care,-0.26,10.0
DECK,Deckers Brands,Consumer Discretionary,-1.24,15.8
DE,Deere & Company,Industrials,-0.18,166.6
DELL,Dell Technologies,Information Technology,-2.15,117.6
DAL,Delta Air Lines,Industrials,0.78,44.9
DVN,Devon Energy,Energy,-1.47,29.3
DXCM,Dexcom,Health Care,-0.96,25.4
FANG,Diamondback Energy,Energy,0.25,52.7
DLR,Digital Realty,Real Estate,0.47,66.1
DG,Dollar General,Consumer Staples,-3.58,25.4
DLTR,Dollar Tree,Consumer Staples,-3.23,19.7
D,Dominion Energy,Utilities,1.0,56.9
DPZ,Domino's,Consumer Discretionary,-1.01,12.4
DASH,DoorDash,Consumer Discretionary,-1.44,66.2
DOV,Dover Corporation,Industrials,0.15,29.5
DOW,Dow Inc.,Materials,1.08,27.7
DHI,D. R. Horton,Consumer Discretionary,-0.6,41.6
DTE,DTE Energy,Utilities,-0.22,31.3
DUK,Duke Energy,Utilities,0.13,103.6
DD,DuPont,Materials,0.31,19.9
EBAY,eBay Inc.,Consumer Discretionary,-0.12,43.2
